Cal_yrs_BP,RSL
530,-0.521336054
531,-0.520269803
532,-0.519203553
533,-0.518137302
534,-0.517071051
535,-0.516004801
536,-0.51493855
537,-0.5138723
538,-0.512806049
539,-0.511739798
540,-0.510673548
541,-0.509607297
542,-0.508541047
543,-0.507474796
544,-0.506408545
545,-0.505342295
546,-0.504276044
547,-0.503209794
548,-0.502143543
549,-0.501077292
550,-0.500011042
551,-0.498944791
552,-0.497878541
553,-0.49681229
554,-0.495746039
555,-0.494679789
556,-0.493613538
557,-0.492547288
558,-0.491481037
559,-0.490414786
560,-0.489348536
561,-0.488282285
562,-0.487216035
563,-0.486149784
564,-0.485083533
565,-0.484017283
566,-0.482951032
567,-0.481884782
568,-0.480818531
569,-0.47975228
570,-0.47868603
571,-0.477619779
572,-0.476553529
573,-0.475487278
574,-0.474421027
575,-0.473354777
576,-0.472288526
577,-0.471222276
578,-0.470156025
579,-0.469089774
580,-0.468023524
581,-0.466957273
582,-0.465891023
583,-0.464824772
584,-0.463758521
585,-0.462692271
586,-0.46162602
587,-0.46055977
588,-0.459493519
589,-0.458427268
590,-0.457361018
591,-0.456294767
592,-0.455228517
593,-0.454162266
594,-0.453096015
595,-0.452029765
596,-0.450963514
597,-0.449897264
598,-0.448831013
599,-0.447764762
600,-0.446698512
601,-0.445632261
602,-0.444566011
603,-0.44349976
604,-0.442433509
605,-0.441367259
606,-0.440301008
607,-0.439234758
608,-0.438168507
609,-0.437102256
610,-0.436036006
611,-0.434969755
612,-0.433903505
613,-0.432837254
614,-0.431771003
615,-0.430704753
616,-0.429638502
617,-0.428572252
618,-0.427506001
619,-0.42643975
620,-0.4253735
621,-0.424307249
622,-0.423240999
623,-0.422174748
624,-0.421108497
625,-0.420042247
626,-0.418975996
627,-0.417909746
628,-0.416843495
629,-0.415777244
630,-0.414710994
631,-0.413644743
632,-0.412578493
633,-0.411512242
634,-0.410445991
635,-0.409379741
636,-0.40831349
637,-0.40724724
638,-0.406180989
639,-0.405114738
640,-0.404048488
641,-0.402982237
642,-0.401915987
643,-0.400849736
644,-0.399783485
645,-0.398717235
646,-0.397650984
647,-0.396584734
648,-0.395518483
649,-0.394452232
650,-0.393385982
651,-0.392319731
652,-0.391253481
653,-0.39018723
654,-0.389120979
655,-0.388054729
656,-0.386988478
657,-0.385922228
658,-0.384855977
659,-0.383789726
660,-0.382723476
661,-0.381657225
662,-0.380590975
663,-0.379524724
664,-0.378458473
665,-0.377392223
666,-0.376325972
667,-0.375259722
668,-0.374193471
669,-0.37312722
