Cal_yrs_BP,Depth_cm,Site,Calophyllum,Acrostichum,Blyxa comp.,Caryophyllaceae,Casuarina,Chenopodiaceae,Cocos nucifera,Compositae (Liguliflorae),Compositae (Tubuliflorae),Cyathula comp.,Cyperaceae,Diospyros,Elaeocarpus comp.,Euphorbia sim.,Excoecaria sim.,Filices- Monolete Asplenium,Filices- Monolete Lepisorus  sim.,Filices- Monolete Psilete Folded,Filices- Monolete Psilete Large,Filices- Monolete Psilete Small,Filices- Trilete Hymenophyllaceae Comp.,Freycinetia comp.,Gardenia,Geniostoma,Glochidion,Gramineae,Gymnosporia,Hibiscus,Ipomea- cultivated,Leguminosae,Leucas comp. ,Lycopodium- reticulate,Macaranga,Meliaceae/Sapotaceae,Orchidaceae,Pandanus,Phytolaccaceae,Pinaceae,Planchonella,Polygonum,Potamogeton comp.,Premna comp.,Pteris,Stachytarpheta,Tournefortia comp.,Trema,Typha,Typha latifolia,Urticaceae/Moraceae
4543,234,Finemui Swamp,0,86.4,0,0,0,0,0,0,0,0,1.69,0,14.9,0,0,0,0,0,6.36,10.4,0,0,3.53,0,0,0,0,5.01,0,0,0,0,0,13.5,0,7.64,0,0,0,0,0,0,58,0,0,0,0,0,5.86
4858,244,Finemui Swamp,0,79.7,0,0,3.03,0,4.84,0,0,0,0,0,16.2,2.05,0,0,0,0,8.98,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,41.7,0,0,18.4,0,0,0
5167,254,Finemui Swamp,0,55.3,0,0,0,0,0,0,14.2,0,0,0,15.4,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,39.3,0,0,0,0,0,0,0,7.35,0,0,0,14.3,0,0,13.1,0,0,13.7,0,0,0
5206,264,Finemui Swamp,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0,0,0,0,0,70.1,0,0,0,0,0,0,0,0,0,0,0,18.1,0,0,0,0,0,0,0,0,0
5207,274,Finemui Swamp,0,90,0,0,0,0,3.52,0,0,0,0,0,28.2,0,0,0,0,0,0,5.37,24.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,27.3,0,0,16.1
NA,294,Finemui Swamp,0,95.2,0,0,0,0,0,0,0,0,0,0,15.3,0,7.42,0,0,0,12.7,33.3,0,0,8.69,0,0,0,0,0,0,0,0,7.37,0,0,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0
NA,304,Finemui Swamp,0,48,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,0,0,73.9,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0,0,13.8,0,0,0,5.6,0,0,19.2,0,0,0,0,0,0
NA,314,Finemui Swamp,0,88.5,0,0,0,0,0,0,0,0,3.41,0,28.1,0,0,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
NA,324,Finemui Swamp,0,73.4,0,0,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,12.8,14.3,0,0,0,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0,0,0,51.3,0,0,0,0,0,0
NA,333,Finemui Swamp,0,52.8,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
