"","DIST","LITTO","MANG","RAIN","UNKN","WETL","Cal_yrs_BP","Site"
"51",13.7931034482759,1.14942528735632,57.4712643678161,20.6896551724138,6.89655172413793,0,6588,"Ngofe Marsh"
"52",16.6666666666667,15.1515151515152,26.5151515151515,28.7878787878788,12.8787878787879,0,5848,"Ngofe Marsh"
"53",21.8507703151747,1.77222837579297,45.3126573356157,14.1979659651596,16.866378008257,0,5207,"Finemui Swamp"
"54",0,0,32.9337899543379,14.9543378995434,43.6643835616438,8.44748858447489,4443,"Lotofoa Swamp"
"55",21.4285714285714,0,40.8163265306122,27.5510204081633,10.2040816326531,0,6422,"Ngofe Marsh"
"56",30.2469135802469,0,27.7777777777778,23.4567901234568,17.2839506172839,1.23456790123457,6192,"Ngofe Marsh"
"57",29.1666666666667,0,12.5,27.7777777777778,30.5555555555556,0,4061,"Ngofe Marsh"
"58",20.2797202797203,2.0979020979021,30.7692307692308,32.1678321678322,13.986013986014,0.699300699300699,6453,"Ngofe Marsh"
"59",14.6666666666667,0,41.3333333333333,36,8,0,6903,"Ngofe Marsh"
"60",20.9876543209877,1.23456790123457,13.5802469135802,39.5061728395062,22.2222222222222,2.46913580246914,4604,"Ngofe Marsh"
"61",35.8552631578947,0.493421052631579,5.42763157894737,11.0197368421053,22.2039473684211,25,3285,"Ngofe Marsh"
"62",73.5802469135803,1.72839506172839,8.39506172839506,9.87654320987654,4.69135802469136,1.7283950617284,3720,"Ngofe Marsh"
"63",33.5164835164835,1.0989010989011,2.47252747252747,14.2857142857143,37.6373626373626,10.989010989011,4277,"Ngofe Marsh"
"64",19.5845697329377,4.74777448071217,32.0474777448071,21.3649851632048,22.2551928783383,0,5619,"Ngofe Marsh"
"65",20.9876543209877,1.64609053497942,40.7407407407407,30.8641975308642,5.34979423868313,0.411522633744856,6390,"Ngofe Marsh"
"66",13.3425034387895,1.65061898211829,0.687757909215956,2.33837689133425,32.1870701513067,49.7936726272352,3054,"Ngofe Marsh"
"67",17.8378378378378,50.8108108108108,0.540540540540541,0.540540540540541,29.7297297297297,0.540540540540541,610,"Ngofe Marsh"
"68",12.5748502994012,1.19760479041916,38.3233532934132,11.9760479041916,35.9281437125749,0,7078,"Ngofe Marsh"
"69",6.54254280320292,8.71688041143155,22.5245752229673,0,52.9848317166851,9.23116984571317,1023,"Finemui Swamp"
"70",12.1951219512195,2.4390243902439,30.0813008130081,44.7154471544715,10.5691056910569,0,5267,"Ngofe Marsh"
"71",1.91093386507145,6.23130608175474,46.8594217347956,1.3570399911377,40.0797607178465,3.56153760939404,1536,"Finemui Swamp"
"72",61.6822429906542,2.80373831775701,0,0.934579439252336,25.2336448598131,9.34579439252336,2620,"Ngofe Marsh"
"73",22.8014078721639,19.0159392392013,5.919828606867,1.44169975595809,35.8564421427363,14.9646823830733,207,"Finemui Swamp"
"74",54.1176470588235,3.52941176470588,3.52941176470588,15.2941176470588,21.1764705882353,2.35294117647059,3939,"Ngofe Marsh"
