Cal_yrs_BP,Depth_cm,Site,Acrostichum,Alphitonia,Amaranthaceae,Anacardiaceae,Apiaceae,Araceae,Arecaceae,Asteraceae,Bischofia,Burseraceae,Calophyllum,Casuarina,cf. Ailanthus,cf. Araliaceae,cf. Calamus,cf. Celtis,cf. Clerodendrum,cf. Clethra,cf. Cycas,cf. Desmodium,cf. Diospyros,cf. Entada,cf. Geraniaceae,cf. Maesa,cf. Maniltoa,cf. Maytenus,cf. Neonauclea,cf. Onagraceae,cf. Rosaceae,cf. Senna,cf. Sterculia,Cocos,Combretaceae/Melastromataceae,Cyperaceae,Dracaena,Dysoxylum,Elaeocarpus,Elattostachys,Euphorbiaceae,Excoecaria,Fabaceae,Ficus,Freycinetia,Glochidion,Grewia,Hedycarya,Homalanthus,Homalium,Ixora,Loranthaceae,Macaranga,Malpighiaceae,Malvaceae,Melastromataceae/Sapotaceae,Microsorum,Monolete echinate,Monolete spores,Moraceae/Urticaceae,Oleaceae,Pandanus,Phyllanthaceae,Poaceae,Polygonaceae,Polypodium,Rhamnaceae,Rhizophoraceae,Rhus,Rubiaceae,Sapotaceae,Stenochlaena,Syzygium,Trema,Trilete spores,Vitaceae
5000,419,Ngofe Marsh,0,0,0,0,0,0,7,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,15,0,3,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,1,0,0,1,0,1,0,0,0,20,5,0,2,0,17,0,1,0
5132,427,Ngofe Marsh,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,0,0,4,3,0,2,120,0,0,0,13,0,0,1,0,0,4,0,2,0,27,0,0,1,11,0,19,17,0,0,0,3,2,0,0,84,40,0,9,1,52,60,1,0
5267,435,Ngofe Marsh,0,0,0,0,0,0,2,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,22,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2,4,0,0,0,0,0,0,0,0,35,2,0,2,0,24,12,0,0
5428,447,Ngofe Marsh,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,11,10,1,0,0,0,0,0,8,2,0,0,100,0,0,0,40,19,0,0,0,0,0,2,2,0,9,0,1,0,9,0,25,24,0,2,0,5,0,0,0,258,29,0,10,2,120,45,0,0
5523,456,Ngofe Marsh,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,45,8,0,1,0,32,4,0,0
5619,465,Ngofe Marsh,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,2,18,0,0,0,11,3,0,0,0,0,1,0,0,0,6,0,0,7,12,0,28,0,0,1,0,11,0,0,0,108,25,0,10,0,42,34,0,0
5703,473,Ngofe Marsh,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,72,9,0,5,0,27,10,1,0
5848,487,Ngofe Marsh,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,4,13,0,0,0,0,0,0,1,0,3,0,0,1,2,0,6,2,0,0,0,1,0,0,0,35,6,0,4,0,14,13,0,0
5941,496,Ngofe Marsh,0,0,0,0,0,0,1,0,4,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,36,0,1,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,2,0,0,0,0,2,0,0,0,47,5,0,0,0,32,11,0,0
6026,504,Ngofe Marsh,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,19,0,0,0,3,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,27,6,0,0,0,14,8,0,0
