depth	min	max	median	mean
326	3333	3969	3672	3668
327	3348	3982	3686	3681
328	3363	3996	3700	3695
329	3377	4012	3713	3708
330	3390	4030	3727	3721
331	3406	4036	3741	3735
332	3418	4046	3753	3748
333	3432	4057	3767	3761
334	3445	4070	3781	3775
335	3454	4085	3793	3788
336	3476	4094	3807	3802
337	3496	4102	3819	3815
338	3511	4112	3834	3829
339	3528	4126	3848	3843
340	3539	4141	3861	3856
341	3555	4151	3875	3870
342	3566	4160	3891	3884
343	3583	4170	3904	3898
344	3594	4183	3918	3912
345	3606	4199	3933	3925
346	3629	4209	3946	3939
347	3648	4216	3959	3953
348	3664	4229	3973	3967
349	3681	4243	3987	3980
350	3694	4259	4001	3994
351	3714	4267	4014	4008
352	3730	4276	4027	4021
353	3743	4288	4042	4035
354	3754	4301	4056	4049
355	3767	4313	4070	4062
356	3790	4324	4082	4076
357	3807	4334	4094	4089
358	3824	4344	4108	4102
359	3841	4357	4121	4115
360	3856	4370	4135	4129
361	3878	4378	4148	4142
362	3901	4389	4162	4156
363	3920	4398	4175	4170
364	3937	4407	4189	4184
365	3949	4418	4203	4197
366	3971	4427	4216	4211
367	3989	4435	4229	4224
368	4006	4445	4241	4237
369	4018	4456	4255	4251
370	4030	4468	4267	4264
371	4057	4475	4279	4278
372	4083	4481	4291	4291
373	4103	4488	4303	4305
374	4118	4496	4317	4318
375	4133	4508	4331	4331
376	4150	4514	4344	4344
377	4162	4525	4358	4357
378	4172	4544	4371	4370
379	4183	4566	4383	4383
380	4191	4588	4397	4396
381	4207	4602	4409	4409
382	4218	4618	4423	4422
383	4227	4638	4435	4434
384	4235	4664	4447	4447
385	4245	4690	4458	4460
386	4258	4704	4471	4473
387	4270	4720	4484	4486
388	4280	4740	4497	4499
389	4287	4760	4509	4512
390	4294	4783	4521	4525
391	4317	4797	4538	4541
392	4333	4812	4555	4558
393	4348	4829	4571	4574
394	4357	4849	4588	4590
395	4364	4875	4604	4607
396	4383	4888	4620	4623
397	4396	4901	4636	4639
398	4407	4918	4651	4655
399	4416	4941	4668	4671
400	4426	4966	4684	4687
401	4444	4977	4700	4703
402	4461	4989	4718	4719
403	4474	5006	4735	4735
404	4485	5023	4751	4752
405	4493	5043	4766	4768
406	4512	5053	4784	4784
407	4531	5065	4802	4801
408	4545	5080	4819	4818
409	4558	5100	4837	4835
410	4567	5127	4853	4851
411	4585	5133	4871	4868
412	4602	5146	4889	4884
413	4618	5161	4905	4900
414	4631	5176	4922	4916
415	4642	5197	4939	4933
416	4663	5208	4957	4949
417	4677	5219	4973	4966
418	4692	5233	4991	4983
419	4703	5247	5008	4999
420	4713	5266	5027	5016
421	4733	5279	5044	5032
422	4753	5292	5061	5049
423	4769	5309	5079	5066
424	4781	5327	5096	5082
425	4792	5351	5114	5099
426	4813	5359	5130	5116
427	4835	5371	5148	5132
428	4849	5386	5165	5149
429	4864	5401	5182	5165
430	4875	5416	5201	5182
431	4899	5426	5216	5199
432	4918	5437	5232	5215
